Reg,Callsign,Country,Make,Model
ZK-IUS,ITS-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3
ZK-ITX,ITX-(520N),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N
ZK-IUP,IUP-(EC130),New Zealand,EUROCOPTER,EC 130 B4
ZK-IUU,IUU-(B3),New Zealand,EUROCOPTER,AS 350 B3
ZK-IVA,IVA-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-IWA,IWA-(LR),New Zealand,BELL HELICOPTER CO,206L-4
ZK-IWC,IWC-(EC120),New Zealand,EUROCOPTER,EC 120 B
ZK-IWM,IWM-(JR),New Zealand,BELL HELICOPTER CO,206B (III)
ZK-IWN,IWN-(EC130),New Zealand,EUROCOPTER,EC 130 B4
ZK-IWR,IWR-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,MD530F
ZK-IWS,IWS-(EC130),New Zealand,EUROCOPTER,EC 130 B4
ZK-IWX,IWX-(500),New Zealand,HUGHES HELICOPTERS,369D
ZK-IWY,IWY-(LR),New Zealand,BELL HELICOPTER TEXTRON CANADA LIMITED,206L-4
ZK-IXX,IXX-(520N),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,500N
ZK-IYN,IYN-(MD900),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,902N
ZK-IYW,IYW-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-IZW,IZW-(BA),New Zealand,EUROCOPTER,AS 350 BA
ZK-IZY,IZY-(LR),New Zealand,BELL HELICOPTER TEXTRON,206L-1
ZK-IZZ,IZZ-(BA),New Zealand,EUROCOPTER,AS 350 BA
