Unit ID,Tag
2013802,Horsley Park Station
2013810,Chiefley Duty
2013823,South West Rocks Cat 2
2013839,YARRAHAPINNI Cat 9
2013856,EUNGAI Cat 1
2013863,COONAMBLE PC
2013865,ARGENTS HILL Cat 7
2013866,Kings Creek Station
2013888,Eungai Cat 7
2013902,ALDAVILLA Cat 1
2013903,CRESCENT HEAD Cat 2
2013912,Shoalhaven Pool Vehicle Alpha
2013914,Shoalhaven Group 5
2013915,Shoalhaven Pool Vehicle Alpha
2013921,Currarong Cat 9
2013923,Broughton Vale Cat 2
2013925,Milton Cat 9
2013926,Milton Cat 1
2013927,Shoalhaven Catering
2013929,Shoalhaven Duty
2013930,Bawley Point Cat 7
2013931,Tabourie Cat 1
2013933,Shoalhaven Group 4
2013934,Cambewarra Cat 7
2013935,Kangaroo Valley Cat 7 Bravo
2013937,Callala Bay Cat 7
2013939,Callala Beach Cat 7
2013941,Shoalhaven Group 5
2013942,Bawley Point PC
2013943,Callala Bay Cat 1
2013944,Sussex Inlet PC
2013945,Bawley Point Cat 1
2013946,Millthorpe Cat 7
2013947,Shoalhaven Bus Charlie
2013948,WANDANDIAN Cat 9
2013949,Kangaroo Valley Cat 7 Alpha
2013951,Beaumont Cat 2
2013953,Manyana Cat 9
2013955,Manyana PC
2013956,Jervis Bay Cat 9
2013960,Wandandian Cat 7
2013961,Huskisson Cat 1
2013963,Cambewarra Cat 1 Alpha
2013965,Shoalhaven Group 4
2013966,BASIN VIEW Cat 1
2013967,Tabourie Bulk Water
2013969,West Nowra Cat 9
2013970,Huskisson Pumper
2013972,Tinonee Cat 7
2013973,Basin View Cat 7
2013974,Tomerong Cat 2
2013975,Tomerong Cat 7
2013976,Conjola Cat 7
2013977,Shoalhaven Aviation Vehicle
2013978,Falls Creek Cat 1
2013980,Northern Beaches Duty
2013981,Northern Beaches Flyer
2013983,Shoalhaven Duty
2013991,MID COAST PC DELTA
2013996,MID COAST OPS SUPPORT 23
2013997,Mid Coast Duty
2014120,Mid Coast Bus Charlie
2014189,RUNNYFORD Cat 1
2014192,Bomber 223
2014196,Lorne Cat 9
2014197,TYRINGHAM Cat 1
2014200,Lawrence Cat 9
2014205,MT RAMORNIE Cat 7
2014208,Iluka Cat 7
2014219,Grafton Cat 9
2014228,CLARENCE VALLEY COMMAND INDIA
2014229,Lanitza Cat 7
2014231,WOOLOWEYAH Cat 7
2014232,Grafton City Cat 7
2014240,TRENAYR Cat 1
2014241,LANITZA - KUNGALA Cat 1
2014266,Cowan Station
2014267,Dural Station
2014268,Hornsby Heights Cat 1
2014269,Cherrybrook Station
2014278,Galston P
2014294,Firecomms - State Mitigation
2014350,Bungendore Cat 1 Bravo
2014361,Bomber 251
2014446,Illawarra Duty
2014463,Engineering 7 Echo
2014468,17 Charlie
2014616,Support Station
2014651,Brooms Head Cat 7
2014655,NYMBOIDA Cat 2
2014658,ULMARRA Cat 2
2014661,Gulmarrad Cat 7
2014664,Woombah Cat 1
2014668,Coutts Crossing Cat 1
2014669,MT RAMORNIE Cat 9
2014670,PILLAR VALLEY Cat 7
2014682,Gulmarrad Cat 1
2014683,BRAUNSTONE Cat 7
2014684,Clarence Valley Command Echo
2014690,BARYULGIL Cat 7
2014691,CLARENCE VALLEY COMMAND ALPHA
2014692,Coutts Crossing Cat 7
2014741,Glenugie Cat 7
2014799,Ourimbah Cat 1
2014802,Lake Munmorah Station
2014806,Gwandalan Station
2014807,Wadalba Station
2014808,Tuggerah Station
2014809,Central Coast Duty
2014810,Killingworth Station
2014811,Kulnura Station
2014812,Peninsula Station
2014814,Warnervale Station
2014827,Charmhaven Cat 1
2014888,Communications Van
2014915,MT PLEASANT Cat 1
2014917,N/A
2014929,MOLONG Cat 1
2014931,CANOBOLAS COMMAND TANGO
2014933,CANOBOLAS COMMAND TANGO
2014941,CUMNOCK Cat 9
2014943,Firecomms - Orange
2014945,Warwick / Glenlogan Cat 7
2015001,N/A
2015002,N/A
2015005,Lucknow Cat 1
2015013,
2015018,CANOBOLAS TILT TRAY
2015022,Warwick / Glenlogan Cat 1
2015028,WAUGOOLA Cat 7
2015031,NARGONG Cat 1
2015035,Springside Cat 1 Alpha
2015038,LUCKNOW Cat 7
2015040,N/A
2015043,ORANGE MOLONG ROAD 1 OMR
2015045,Borenore Cat 7
2015046,Lyndhurst Cat 7
2015048,Canobolas Pc Bravo
2015049,Tallwood Cat 1
2015050,N/A
2015056,MURRINGO Cat 7
2015061,Spring Hill Cat 7
2015062,CANOBOLAS PC BRAVO
2015064,CUDAL Cat 1
2015068,N/A
2015072,N/A
2015074,CANOBOLAS PC CHARLIE
2015078,MT MCDONALD Cat 7
2015081,N/A
2015082,Orange Cat 1 Bravo
2015087,Towac Cat 9
2015088,ORANGE MOLONG ROAD 7 OMR
2015089,Millthorpe Cat 1
2015091,NORTH WEST Cat 7
2015100,Kangaroo Flat Cat 1 Bravo
2015102,CANOBOLAS COMMAND XRAY
2015111,Clifton Grove-Ophir Cat 1
2015116,Canobolas Command Romeo
2015119,CANOBOLAS COMMAND MIKE
2015125,CUMNOCK Cat 7
2015133,Canobolas Command Papa
2015137,Canobolas DTZ Office - Orange FCC
2015140,CARCOAR Cat 7
2015141,CARCOAR Cat 1
2015142,CANOBOLAS COMMAND LIMA
2015145,Clifton Grove-Ophir Cat 7 Bravo
2015155,North West Pumper
2015158,N/A
2015159,Firecomms - Orange
